EmployeeID,Date,Status,CheckIn,CheckOut,TotalHours
E001,2026-07-20,Leave,09:00,18:00,0
E002,2026-07-20,Absent,09:00,18:00,0
E003,2026-07-20,Present,09:00,18:00,9
E004,2026-07-20,Holiday,09:00,18:00,0
E005,2026-07-20,Half-Day,09:00,18:00,0
E006,2026-07-20,WFH,09:00,18:00,9
E007,2026-07-20,Absent,09:00,18:00,0
E008,2026-07-20,Holiday,09:00,18:00,0
E009,2026-07-20,Half-Day,09:00,18:00,0
E010,2026-07-20,Present,09:00,18:00,9
E011,2026-07-20,Present,09:00,18:00,9
E012,2026-07-20,Holiday,09:00,18:00,0
E013,2026-07-20,WFH,09:00,18:00,9
E014,2026-07-20,Absent,09:00,18:00,0
E015,2026-07-20,Leave,09:00,18:00,0
E016,2026-07-20,Absent,09:00,18:00,0
E017,2026-07-20,Present,09:00,18:00,9
E018,2026-07-20,WFH,09:00,18:00,9
E019,2026-07-20,Holiday,09:00,18:00,0
E020,2026-07-20,WFH,09:00,18:00,9
E021,2026-07-20,Holiday,09:00,18:00,0
E022,2026-07-20,WFH,09:00,18:00,9
E023,2026-07-20,Holiday,09:00,18:00,0
E024,2026-07-20,Half-Day,09:00,18:00,0
E025,2026-07-20,Leave,09:00,18:00,0
E026,2026-07-20,Half-Day,09:00,18:00,0
E027,2026-07-20,Present,09:00,18:00,9
E028,2026-07-20,Absent,09:00,18:00,0
E029,2026-07-20,Absent,09:00,18:00,0
E030,2026-07-20,WFH,09:00,18:00,9
E031,2026-07-20,Present,09:00,18:00,9
E032,2026-07-20,Leave,09:00,18:00,0
E033,2026-07-20,WFH,09:00,18:00,9
E034,2026-07-20,Half-Day,09:00,18:00,0
E035,2026-07-20,Present,09:00,18:00,9
E036,2026-07-20,Half-Day,09:00,18:00,0
E037,2026-07-20,Holiday,09:00,18:00,0
E038,2026-07-20,Half-Day,09:00,18:00,0
E039,2026-07-20,WFH,09:00,18:00,9
E040,2026-07-20,WFH,09:00,18:00,9
E041,2026-07-20,Half-Day,09:00,18:00,0
E042,2026-07-20,Present,09:00,18:00,9
E043,2026-07-20,Half-Day,09:00,18:00,0
E044,2026-07-20,Absent,09:00,18:00,0
E045,2026-07-20,Present,09:00,18:00,9
E046,2026-07-20,Present,09:00,18:00,9
E047,2026-07-20,Leave,09:00,18:00,0
E048,2026-07-20,WFH,09:00,18:00,9
E049,2026-07-20,Half-Day,09:00,18:00,0
E050,2026-07-20,WFH,09:00,18:00,9
E051,2026-07-20,Present,09:00,18:00,9
E052,2026-07-20,Holiday,09:00,18:00,0
E053,2026-07-20,Present,09:00,18:00,9
E054,2026-07-20,Holiday,09:00,18:00,0
E055,2026-07-20,Present,09:00,18:00,9
E056,2026-07-20,Present,09:00,18:00,9
E057,2026-07-20,Holiday,09:00,18:00,0
E058,2026-07-20,Present,09:00,18:00,9
E059,2026-07-20,Present,09:00,18:00,9
E060,2026-07-20,Half-Day,09:00,18:00,0
E061,2026-07-20,Half-Day,09:00,18:00,0
E062,2026-07-20,Half-Day,09:00,18:00,0
E063,2026-07-20,Half-Day,09:00,18:00,0
E064,2026-07-20,Present,09:00,18:00,9
E065,2026-07-20,WFH,09:00,18:00,9
E066,2026-07-20,Holiday,09:00,18:00,0
E067,2026-07-20,Present,09:00,18:00,9
E068,2026-07-20,Half-Day,09:00,18:00,0
E069,2026-07-20,Leave,09:00,18:00,0
E070,2026-07-20,Present,09:00,18:00,9
E071,2026-07-20,WFH,09:00,18:00,9
E072,2026-07-20,Present,09:00,18:00,9
E073,2026-07-20,WFH,09:00,18:00,9
E074,2026-07-20,Half-Day,09:00,18:00,0
E075,2026-07-20,WFH,09:00,18:00,9
E076,2026-07-20,WFH,09:00,18:00,9
E077,2026-07-20,Half-Day,09:00,18:00,0
E078,2026-07-20,Leave,09:00,18:00,0
E079,2026-07-20,Half-Day,09:00,18:00,0
E080,2026-07-20,WFH,09:00,18:00,9
E081,2026-07-20,WFH,09:00,18:00,9
E082,2026-07-20,Leave,09:00,18:00,0
E083,2026-07-20,Holiday,09:00,18:00,0
E084,2026-07-20,Half-Day,09:00,18:00,0
E085,2026-07-20,Half-Day,09:00,18:00,0
E086,2026-07-20,Half-Day,09:00,18:00,0
E087,2026-07-20,Holiday,09:00,18:00,0
E088,2026-07-20,Leave,09:00,18:00,0
E089,2026-07-20,Half-Day,09:00,18:00,0
E090,2026-07-20,Half-Day,09:00,18:00,0
E091,2026-07-20,Absent,09:00,18:00,0
E092,2026-07-20,WFH,09:00,18:00,9
E093,2026-07-20,WFH,09:00,18:00,9
E094,2026-07-20,Absent,09:00,18:00,0
E095,2026-07-20,Half-Day,09:00,18:00,0
E096,2026-07-20,Half-Day,09:00,18:00,0
E097,2026-07-20,Absent,09:00,18:00,0
E098,2026-07-20,Present,09:00,18:00,9
E099,2026-07-20,Leave,09:00,18:00,0
E100,2026-07-20,Absent,09:00,18:00,0
