ProjectID,ProjectName,EmployeeID,Role,StartDate,EndDate,Allocation
P013,Project-7,E001,Developer,2025-01-01,,75
P007,Project-8,E002,Analyst,2025-01-01,,50
P020,Project-6,E003,Tester,2025-01-01,,100
P002,Project-7,E004,Developer,2025-01-01,,50
P015,Project-11,E005,Developer,2025-01-01,,25
P015,Project-2,E006,Lead,2025-01-01,,100
P003,Project-9,E007,Developer,2025-01-01,,75
P013,Project-12,E008,Lead,2025-01-01,,100
P018,Project-15,E009,Tester,2025-01-01,,75
P013,Project-2,E010,Analyst,2025-01-01,,25
P003,Project-20,E011,Lead,2025-01-01,,75
P011,Project-9,E012,Lead,2025-01-01,,25
P015,Project-13,E013,Lead,2025-01-01,,100
P010,Project-5,E014,Tester,2025-01-01,,75
P003,Project-17,E015,Tester,2025-01-01,,100
P016,Project-18,E016,Lead,2025-01-01,,50
P007,Project-4,E017,Analyst,2025-01-01,,100
P020,Project-8,E018,Developer,2025-01-01,,75
P009,Project-7,E019,Analyst,2025-01-01,,50
P007,Project-11,E020,Developer,2025-01-01,,100
P004,Project-15,E021,Developer,2025-01-01,,25
P002,Project-10,E022,Tester,2025-01-01,,25
P007,Project-3,E023,Lead,2025-01-01,,50
P020,Project-20,E024,Lead,2025-01-01,,50
P009,Project-2,E025,Tester,2025-01-01,,25
P010,Project-3,E026,Tester,2025-01-01,,25
P018,Project-5,E027,Developer,2025-01-01,,50
P010,Project-14,E028,Developer,2025-01-01,,75
P007,Project-13,E029,Analyst,2025-01-01,,50
P013,Project-19,E030,Lead,2025-01-01,,100
P013,Project-3,E031,Lead,2025-01-01,,50
P003,Project-4,E032,Analyst,2025-01-01,,100
P016,Project-11,E033,Developer,2025-01-01,,100
P020,Project-13,E034,Tester,2025-01-01,,100
P006,Project-13,E035,Lead,2025-01-01,,25
P002,Project-18,E036,Developer,2025-01-01,,75
P010,Project-14,E037,Lead,2025-01-01,,50
P015,Project-6,E038,Developer,2025-01-01,,25
P015,Project-6,E039,Analyst,2025-01-01,,100
P003,Project-15,E040,Developer,2025-01-01,,25
P017,Project-3,E041,Developer,2025-01-01,,100
P004,Project-7,E042,Tester,2025-01-01,,100
P003,Project-12,E043,Lead,2025-01-01,,50
P016,Project-7,E044,Lead,2025-01-01,,50
P006,Project-9,E045,Lead,2025-01-01,,100
P012,Project-15,E046,Developer,2025-01-01,,75
P019,Project-5,E047,Lead,2025-01-01,,75
P002,Project-10,E048,Lead,2025-01-01,,75
P010,Project-20,E049,Analyst,2025-01-01,,100
P002,Project-1,E050,Developer,2025-01-01,,25
P008,Project-14,E051,Lead,2025-01-01,,50
P005,Project-1,E052,Tester,2025-01-01,,50
P009,Project-13,E053,Lead,2025-01-01,,25
P020,Project-17,E054,Analyst,2025-01-01,,50
P013,Project-6,E055,Tester,2025-01-01,,50
P007,Project-5,E056,Analyst,2025-01-01,,50
P002,Project-16,E057,Developer,2025-01-01,,100
P006,Project-8,E058,Developer,2025-01-01,,75
P009,Project-2,E059,Lead,2025-01-01,,100
P003,Project-17,E060,Developer,2025-01-01,,50
P011,Project-7,E061,Analyst,2025-01-01,,75
P018,Project-16,E062,Analyst,2025-01-01,,25
P007,Project-13,E063,Developer,2025-01-01,,50
P006,Project-12,E064,Tester,2025-01-01,,25
P002,Project-3,E065,Developer,2025-01-01,,25
P013,Project-4,E066,Tester,2025-01-01,,50
P003,Project-10,E067,Analyst,2025-01-01,,25
P011,Project-14,E068,Lead,2025-01-01,,25
P011,Project-20,E069,Analyst,2025-01-01,,75
P012,Project-16,E070,Developer,2025-01-01,,50
P007,Project-10,E071,Developer,2025-01-01,,25
P016,Project-19,E072,Lead,2025-01-01,,75
P016,Project-6,E073,Developer,2025-01-01,,25
P013,Project-13,E074,Developer,2025-01-01,,100
P018,Project-17,E075,Tester,2025-01-01,,100
P020,Project-2,E076,Lead,2025-01-01,,75
P006,Project-15,E077,Analyst,2025-01-01,,75
P008,Project-17,E078,Tester,2025-01-01,,75
P011,Project-20,E079,Lead,2025-01-01,,50
P004,Project-6,E080,Developer,2025-01-01,,50
P010,Project-14,E081,Lead,2025-01-01,,50
P015,Project-2,E082,Developer,2025-01-01,,100
P015,Project-1,E083,Tester,2025-01-01,,75
P019,Project-19,E084,Analyst,2025-01-01,,50
P011,Project-9,E085,Developer,2025-01-01,,100
P009,Project-14,E086,Analyst,2025-01-01,,100
P011,Project-1,E087,Analyst,2025-01-01,,100
P007,Project-17,E088,Lead,2025-01-01,,25
P012,Project-17,E089,Lead,2025-01-01,,100
P004,Project-20,E090,Lead,2025-01-01,,25
P003,Project-14,E091,Analyst,2025-01-01,,75
P017,Project-8,E092,Analyst,2025-01-01,,100
P007,Project-16,E093,Tester,2025-01-01,,50
P005,Project-16,E094,Lead,2025-01-01,,50
P006,Project-16,E095,Developer,2025-01-01,,75
P016,Project-14,E096,Developer,2025-01-01,,75
P011,Project-5,E097,Lead,2025-01-01,,25
P020,Project-4,E098,Tester,2025-01-01,,50
P013,Project-18,E099,Tester,2025-01-01,,25
P003,Project-15,E100,Developer,2025-01-01,,25
