EmployeeID,BaseSalary,Bonus,CTC,LastIncrement,Currency
E001,682832,127593,810425,2026-04-01,INR
E002,1511582,174629,1686211,2026-04-01,INR
E003,2149146,49578,2198724,2026-04-01,INR
E004,2142250,47179,2189429,2026-04-01,INR
E005,1094718,192618,1287336,2026-04-01,INR
E006,1968181,193905,2162086,2026-04-01,INR
E007,2162375,84858,2247233,2026-04-01,INR
E008,768093,45825,813918,2026-04-01,INR
E009,1927770,268792,2196562,2026-04-01,INR
E010,2346369,52809,2399178,2026-04-01,INR
E011,1542170,195621,1737791,2026-04-01,INR
E012,674022,32717,706739,2026-04-01,INR
E013,2469779,89576,2559355,2026-04-01,INR
E014,1740284,261582,2001866,2026-04-01,INR
E015,1070826,149660,1220486,2026-04-01,INR
E016,2189098,75166,2264264,2026-04-01,INR
E017,2274699,110802,2385501,2026-04-01,INR
E018,1632211,166484,1798695,2026-04-01,INR
E019,1179035,148628,1327663,2026-04-01,INR
E020,1455512,148948,1604460,2026-04-01,INR
E021,418841,268912,687753,2026-04-01,INR
E022,611355,119390,730745,2026-04-01,INR
E023,2283720,156287,2440007,2026-04-01,INR
E024,557095,213309,770404,2026-04-01,INR
E025,1772582,234431,2007013,2026-04-01,INR
E026,2478802,273496,2752298,2026-04-01,INR
E027,2068377,162169,2230546,2026-04-01,INR
E028,1898128,237097,2135225,2026-04-01,INR
E029,424648,247627,672275,2026-04-01,INR
E030,1081761,88144,1169905,2026-04-01,INR
E031,1011893,202423,1214316,2026-04-01,INR
E032,1227711,178133,1405844,2026-04-01,INR
E033,761945,104030,865975,2026-04-01,INR
E034,1167413,134366,1301779,2026-04-01,INR
E035,1026910,149530,1176440,2026-04-01,INR
E036,893799,224386,1118185,2026-04-01,INR
E037,2185682,224059,2409741,2026-04-01,INR
E038,2453118,263937,2717055,2026-04-01,INR
E039,849109,55190,904299,2026-04-01,INR
E040,946396,63117,1009513,2026-04-01,INR
E041,971204,33556,1004760,2026-04-01,INR
E042,1607462,106565,1714027,2026-04-01,INR
E043,1758279,164175,1922454,2026-04-01,INR
E044,1738308,215175,1953483,2026-04-01,INR
E045,1107755,158590,1266345,2026-04-01,INR
E046,2053631,214755,2268386,2026-04-01,INR
E047,741355,251882,993237,2026-04-01,INR
E048,1711344,20938,1732282,2026-04-01,INR
E049,1927141,45048,1972189,2026-04-01,INR
E050,1888820,179246,2068066,2026-04-01,INR
E051,1256411,212012,1468423,2026-04-01,INR
E052,2291014,70229,2361243,2026-04-01,INR
E053,635428,203675,839103,2026-04-01,INR
E054,1092476,20209,1112685,2026-04-01,INR
E055,644860,75007,719867,2026-04-01,INR
E056,2141661,111561,2253222,2026-04-01,INR
E057,2231432,263933,2495365,2026-04-01,INR
E058,1374322,40351,1414673,2026-04-01,INR
E059,1512733,174988,1687721,2026-04-01,INR
E060,1492065,143789,1635854,2026-04-01,INR
E061,1403142,218940,1622082,2026-04-01,INR
E062,511219,249226,760445,2026-04-01,INR
E063,1006475,37256,1043731,2026-04-01,INR
E064,529477,41836,571313,2026-04-01,INR
E065,1924235,124496,2048731,2026-04-01,INR
E066,1252116,78704,1330820,2026-04-01,INR
E067,956390,71307,1027697,2026-04-01,INR
E068,1871784,154585,2026369,2026-04-01,INR
E069,529945,236489,766434,2026-04-01,INR
E070,781218,170528,951746,2026-04-01,INR
E071,1858794,277332,2136126,2026-04-01,INR
E072,1066455,168756,1235211,2026-04-01,INR
E073,2456432,74818,2531250,2026-04-01,INR
E074,505587,215008,720595,2026-04-01,INR
E075,1379686,261648,1641334,2026-04-01,INR
E076,1051487,256090,1307577,2026-04-01,INR
E077,1368986,86090,1455076,2026-04-01,INR
E078,1664614,101051,1765665,2026-04-01,INR
E079,1390749,192005,1582754,2026-04-01,INR
E080,2011589,99146,2110735,2026-04-01,INR
E081,858349,76030,934379,2026-04-01,INR
E082,2230931,136629,2367560,2026-04-01,INR
E083,2097490,22892,2120382,2026-04-01,INR
E084,1358843,115160,1474003,2026-04-01,INR
E085,1416683,229784,1646467,2026-04-01,INR
E086,482448,234614,717062,2026-04-01,INR
E087,846190,39999,886189,2026-04-01,INR
E088,2315893,127469,2443362,2026-04-01,INR
E089,2316417,130147,2446564,2026-04-01,INR
E090,1458884,163842,1622726,2026-04-01,INR
E091,1512151,77282,1589433,2026-04-01,INR
E092,1289246,106262,1395508,2026-04-01,INR
E093,1881141,236681,2117822,2026-04-01,INR
E094,1521659,217210,1738869,2026-04-01,INR
E095,1901466,148433,2049899,2026-04-01,INR
E096,1040693,178947,1219640,2026-04-01,INR
E097,448146,129969,578115,2026-04-01,INR
E098,1178729,256957,1435686,2026-04-01,INR
E099,1645891,123478,1769369,2026-04-01,INR
E100,1509369,239696,1749065,2026-04-01,INR
